time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,1,1,15,2
2025-02-28 00:00:00+00:00,2,1,2,1
2025-03-01 00:00:00+00:00,0,0,7,1
2025-03-03 00:00:00+00:00,8,7,11,2
2025-03-04 00:00:00+00:00,10,8,15,3
2025-03-05 00:00:00+00:00,2,2,5,3
2025-03-06 00:00:00+00:00,1,1,3,1
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,2,2
2025-03-11 00:00:00+00:00,1,1,1,1
2025-03-12 00:00:00+00:00,5,5,9,2
2025-03-13 00:00:00+00:00,1,1,1,1
2025-03-15 00:00:00+00:00,3,3,0,0
2025-03-17 00:00:00+00:00,19,11,31,2
2025-03-18 00:00:00+00:00,21,12,70,4
2025-03-19 00:00:00+00:00,14,12,108,8
2025-03-20 00:00:00+00:00,4,3,30,4
